Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-72925814	41307333	14	1	1100	0	0	0	0	highway=footway foot=yes		0	17
-72926315	41307534	14	50	1100	0	9	0	0	reversedirection=yes highway=footway foot=yes	highway=crossing	5	964
-72928479	41307346	16	186	1100	0	2	0	0	highway=footway foot=yes		31	5618
-72928521	41307338	16	4	1100	0	0	0	0	reversedirection=yes highway=footway foot=yes		31	5722
-72928621	41307363	17	9	1100	0	1	0	0	highway=footway footway=crossing	highway=crossing crossing=traffic_signals	33	5962
-72928736	41307390	17	11	1100	0	0	0	0	highway=footway footway=crossing		34	6265
-72930223	41307995	17	144	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		57	10378
-72930276	41308015	17	5	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing crossing=traffic_signals	58	10493
-72930332	41308039	17	6	1100	0	0	0	0	highway=footway footway=crossing		59	10631
-72931500	41308536	14	113	1100	0	0	0	0	highway=footway footway=sidewalk		70	12650
-72931588	41308547	14	8	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing crossing=traffic_signals	71	12836
-72931688	41308561	14	9	1100	0	0	0	0	highway=footway footway=crossing		72	13048
-72933442	41308934	14	153	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		92	16718
-72933518	41308954	14	7	1100	0	0	0	0	highway=footway	highway=crossing crossing=uncontrolled	93	16885
-72933606	41308974	13	8	1100	0	0	0	0	highway=footway		94	17070
-72932903	41309933	15	123	1100	0	12	0	0	highway=footway footway=sidewalk		113	20408
-72932865	41309987	15	7	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	114	20601
-72932836	41310029	16	6	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		115	20771
-72933563	41310339	15	70	1100	0	9	0	0	highway=footway footway=sidewalk		125	22624
-72933604	41310354	15	4	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	126	22727
-72933657	41310373	15	5	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		126	22852
-72934395	41310679	15	71	1100	0	0	0	0	highway=footway footway=sidewalk		136	24531
-72934464	41310710	15	7	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	137	24705
-72934547	41310748	15	9	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		138	24929
-72935729	41311244	15	115	1100	0	0	0	0	highway=footway footway=sidewalk		154	27852
-72935824	41311231	15	9	1100	0	2	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	155	28076
-72935918	41311218	15	8	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		157	28269
-72937897	41311732	13	177	1100	0	1	0	0	highway=footway footway=sidewalk		178	32042
-72937959	41311746	13	6	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	178	32192
-72938051	41311767	13	9	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		180	32416
-72939366	41312111	14	117	1100	0	0	0	0	highway=footway footway=sidewalk		197	35491
-72939428	41312131	14	6	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	198	35651
-72939504	41312155	14	7	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		199	35838
-72940646	41312457	14	102	1100	0	0	0	0	highway=footway footway=sidewalk		214	38604
-72940719	41312492	14	8	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing crossing=traffic_signals	215	38804
-72940774	41312518	15	6	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		216	38960
-72941785	41312786	14	90	1100	0	0	0	0	highway=footway footway=sidewalk		228	41201
-72941865	41312807	14	8	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	229	41400
-72941950	41312829	14	8	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		231	41598
-72942870	41313090	15	85	1100	0	0	0	0	highway=footway footway=sidewalk		243	43899
-72942943	41313100	16	7	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	244	44092
-72943034	41313116	16	8	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		246	44311
-72943641	41313283	16	55	1100	0	0	0	0	highway=footway footway=sidewalk		254	45775
-72943766	41313319	16	12	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	256	46087
-72943883	41313352	16	11	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		257	46372
-72945962	41313901	17	185	1100	0	0	0	0	highway=footway footway=sidewalk		286	51484
-72946043	41314001	17	14	1100	0	2	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	287	51826
-72946119	41314093	17	13	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		289	52145
-72947375	41314423	15	112	1100	0	2	0	0	highway=footway footway=sidewalk		302	54501
-72947499	41314457	15	12	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	304	54781
-72947629	41314494	15	12	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		305	55072
-72949169	41314903	18	137	1100	0	0	0	0	highway=footway footway=sidewalk		329	59370
-72949268	41314931	18	9	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	331	59600
-72949360	41314957	18	9	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		332	59838
-72950772	41315329	18	126	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		350	63014
-72950877	41315355	18	10	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	351	63262
-72951011	41315388	18	12	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		353	63570
-72952198	41315708	18	106	1100	0	0	0	0	highway=footway footway=sidewalk		369	66436
-72952233	41315655	18	7	1100	0	9	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	370	66612
-72951035	41315334	18	20	10500	0	280	0	0	reversedirection=yes highway=tertiary oneway=yes		384	66723
-72952233	41315655	18	20	10500	0	0	0	0	highway=tertiary oneway=yes	highway=crossing	397	66723
-72952288	41315732	18	15	1100	0	22	0	0	highway=footway footway=crossing	highway=crossing	398	67009
-72952385	41315758	18	9	1100	0	0	0	0	highway=footway footway=crossing		399	67185
-72953288	41316000	16	81	1100	0	0	0	0	highway=footway footway=sidewalk		407	68626
-72953353	41316014	16	6	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	408	68741
-72953439	41316034	16	8	1100	0	0	0	0	highway=footway footway=crossing		409	68902
-72954289	41316257	17	76	1100	0	0	0	0	highway=footway footway=sidewalk		419	70642
-72954371	41316280	17	8	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	420	70824
-72954439	41316299	16	7	1100	0	0	0	0	highway=footway footway=crossing		420	70974
-72955856	41316539	9	126	1100	0	0	0	0	highway=footway footway=sidewalk		432	73084
-72959060	41317419	11	288	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		472	80215
-72959159	41317263	11	20	1100	0	10	0	0	reversedirection=yes highway=footway foot=yes		475	80731
-72959807	41317438	13	58	1100	0	8	0	0	reversedirection=yes highway=footway footway=sidewalk		485	82662
-72959946	41317481	13	13	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing	highway=crossing	488	83086
-72960081	41317522	14	13	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		490	83528
-72961417	41317880	18	119	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		525	89751
-72961499	41317903	19	8	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing crossing=zebra	526	89980
-72961596	41317929	19	9	1100	0	0	0	0	highway=footway footway=crossing		527	90234
-72962657	41318214	19	95	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		542	92906
-72962771	41318243	19	11	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	544	93199
-72962881	41318272	19	10	1100	0	0	0	0	highway=footway footway=crossing		545	93454
-72965775	41319050	20	258	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		584	100327
-72965891	41319081	20	11	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	585	100604
-72965997	41319110	20	10	1100	0	0	0	0	highway=footway footway=crossing		586	100848
-72967130	41319423	20	101	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		601	103389
-72967202	41319440	20	7	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	602	103569
-72967308	41319466	21	10	1100	0	0	0	0	highway=footway footway=crossing		603	103834
-72968358	41319748	24	94	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		622	107214
-72968441	41319773	24	8	1100	0	0	0	0	highway=footway footway=crossing	highway=crossing	623	107480
-72968544	41319803	25	10	1100	0	0	0	0	highway=footway footway=crossing		625	107816
-72969950	41320173	31	125	1100	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		668	115488
-72969937	41320268	31	11	1100	0	7	0	0	highway=footway footway=crossing	highway=crossing	670	115816
-72970048	41320298	33	10	10500	4	190	100	0	highway=tertiary	highway=traffic_signals	677	116087
-72970744	41322779	41	324	10500	53	52	0	0	highway=tertiary	highway=stop	914	120482
-72970709	41322880	42	12	10500	0	2	0	0	highway=tertiary		923	120639
-72970829	41322914	42	11	5000	0	224	0	0	highway=residential	highway=stop	930	120651
-72971823	41323196	49	89	5000	0	0	0	0	highway=residential		1001	123442
-72971888	41324891	45	215	5000	0	57	0	0	highway=residential oneway=yes	highway=stop	1149	125310
-72971883	41324909	45	3	5000	0	0	0	0	highway=residential oneway=yes	highway=crossing	1151	125310
-72972044	41324851	45	15	1100	0	16	0	0	reversedirection=yes highway=footway footway=crossing		1152	125592
-72973669	41323720	53	201	1100	0	0	0	0	highway=footway footway=sidewalk		1190	132421
-72973710	41323773	53	7	2000	0	204	0	0	reversedirection=yes highway=service		1192	132647
-72974795	41324101	51	100	5000	0	157	0	0	highway=residential	highway=crossing	1264	133565
-72974908	41324079	52	13	1100	0	14	0	0	highway=footway footway=crossing	highway=crossing	1266	133893
-72974992	41324107	52	8	1100	0	0	0	0	highway=footway footway=crossing		1267	134095
-72977632	41324728	38	236	1100	0	2	0	0	reversedirection=yes highway=footway footway=sidewalk		1288	137834
-72977601	41324775	38	6	1100	0	16	0	0	highway=footway footway=crossing	highway=crossing crossing=unmarked	1288	137936
-72977712	41324758	38	14	5000	0	490	0	0	highway=residential	highway=crossing crossing=unmarked	1297	137936
-72977723	41324743	38	2	5000	0	0	0	0	highway=residential	highway=stop	1298	137936
-72982764	41329756	52	1180	5000	102	95	0	0	highway=residential	highway=stop	2156	158315
-72982753	41329776	52	3	5000	0	0	0	0	highway=residential	highway=crossing crossing=unmarked	2158	158315
-72982825	41329795	53	7	1100	0	10	0	0	highway=footway footway=crossing		2159	158485
-72983822	41330071	61	90	1100	0	0	0	0	highway=footway footway=sidewalk		2187	163507
