Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-72988400	41912320	129	3047	5000	0	25	0	0	reversedirection=yes highway=residential surface=asphalt maxspeed=40	highway=stop	2107	16064
-72986818	41913305	130	174	30500	0	405	0	0	highway=secondary	highway=crossing crossing=unknown	2232	17457
-72979652	41912589	166	643	30500	182	31	0	0	highway=secondary		2791	52908
-72978266	41880993	130	3829	5500	489	220	0	0	reversedirection=yes highway=unclassified surface=paved		5604	118141
-72976605	41879052	119	268	5000	4	18	0	0	highway=residential	highway=crossing	5779	118141
-72978139	41877746	120	200	1100	0	11	0	0	highway=footway footway=sidewalk		5804	122630
-72978201	41877700	120	8	1100	0	4	0	0	highway=footway footway=crossing	highway=crossing crossing=unknown	5806	122857
-72978284	41877637	120	10	1100	0	0	0	0	highway=footway footway=crossing		5807	123137
-72979361	41877298	123	112	1100	0	10	0	0	highway=footway footway=sidewalk	highway=crossing	5827	126770
-72980535	41877865	131	125	1100	0	1	0	0	highway=footway footway=sidewalk		5863	133122
-72980622	41877794	132	11	1100	0	17	0	0	highway=footway footway=crossing	highway=crossing crossing=unknown	5866	133653
-72980694	41877735	132	9	1100	0	0	0	0	highway=footway footway=crossing		5868	134077
-72981493	41876995	133	109	1100	0	4	0	0	highway=footway footway=sidewalk		5893	138620
-72976690	41828043	172	6353	5000	1412	556	0	0	reversedirection=yes highway=residential		10755	305948
-72973108	41824243	181	522	30500	0	105	0	0	highway=primary lanes=2		11127	314488
-72972716	41824329	179	37	1000	0	48	0	0	highway=track tracktype=grade1 surface=unpaved	barrier=gate	11133	315448
-72971082	41824339	183	139	1000	0	0	0	0	highway=track tracktype=grade1 surface=unpaved		11151	318731
-72965104	41826061	209	906	1000	129	92	0	0	reversedirection=yes highway=track tracktype=grade1 surface=unpaved route=unknown		11358	355998
-72962245	41828595	200	443	1000	0	76	0	0	highway=track tracktype=grade1 surface=unpaved		11414	366126
-72955830	41845241	126	2133	1000	242	117	0	0	highway=track tracktype=grade1 surface=unpaved route=unknown		11646	407316
-72953795	41843273	119	288	1000	0	97	0	0	reversedirection=yes highway=track tracktype=grade1		11674	412489
-72953633	41843288	118	14	1000	0	10	0	0	highway=track tracktype=grade1	barrier=gate	11676	412727
-72953514	41843301	116	11	1000	0	3	0	0	highway=track tracktype=grade1		11677	412904
-72935250	41835934	94	1835	1000	0	15	0	0	reversedirection=yes highway=track tracktype=grade1		11908	454545
-72930792	41832788	97	536	5500	0	176	0	0	reversedirection=yes highway=unclassified		12299	461495
-72926423	41810100	91	2932	5000	342	855	0	0	reversedirection=yes highway=residential	highway=crossing crossing=unknown	14481	519661
-72926275	41809972	90	19	5000	0	0	0	0	reversedirection=yes highway=residential	highway=stop	14493	519661
-72926201	41810001	90	8	30500	2	193	0	0	reversedirection=yes highway=secondary	highway=crossing crossing=unknown	14498	519661
-72923651	41810969	89	244	30500	0	0	0	0	reversedirection=yes highway=secondary	highway=crossing crossing=unknown	14659	520480
-72923569	41811000	89	9	30500	0	0	100	0	reversedirection=yes highway=secondary	highway=traffic_signals traffic_signals:direction=both	14665	520480
-72923489	41811031	90	9	30500	0	0	0	0	reversedirection=yes highway=secondary	highway=crossing crossing=unknown	14671	520480
-72923521	41811100	89	9	1100	0	8	0	0	highway=footway footway=crossing		14672	520640
-72922605	41811925	91	127	1300	0	118	0	0	highway=cycleway surface=asphalt foot=designated bicycle=designated route_bicycle_rcn=yes	highway=crossing crossing=unknown	14687	523426
-72922039	41812391	92	73	1300	0	14	0	0	highway=cycleway surface=asphalt foot=designated bicycle=designated route_bicycle_rcn=yes	highway=crossing crossing=unknown	14695	524945
-72919701	41813891	93	282	1300	0	246	0	0	highway=cycleway surface=asphalt foot=designated bicycle=designated route_bicycle_rcn=yes	barrier=bollard	14736	532187
